sentence_incorrect,sentence_correct,wrong,correct
"Acoperișul din șindrilă nu se mai păstrează, fiind înlocuită cu țiglă în 1936, fapt ce a necesitat sprijinirea acoperișului cu structuri inprovizate.","Acoperișul din șindrilă nu se mai păstrează, fiind înlocuită cu țiglă în 1936, fapt ce a necesitat sprijinirea acoperișului cu structuri improvizate.",inprovizate.,improvizate.
Industria muzicală e un loc dur în care săți faci o carieră.,Industria muzicală e un loc dur în care să-ți faci o carieră.,săți,să-ți
AdePlast este singurul producător ce  deține în mod real aceasta certificare.,AdePlast este singurul producător ce deține în mod real această certificare.,aceasta,această
Situația va rămâne instabilă până l-a dispariția familiei Roanne-Saint-Maurice.,Situația va rămâne instabilă până la dispariția familiei Roanne-Saint-Maurice.,l-a,la
"S-a putut remarca, și cu acest prilej, că în planul tematic avem dea face cu narațiuni concentrate raportînd sensibil asupra vieții interioare.","S-a putut remarca, și cu acest prilej, că în planul tematic avem de-a face cu narațiuni concentrate raportînd sensibil asupra vieții interioare.",dea,de-a
Amestecuriile de condimente sau plante aromatice nu sunt incluse în acest format.,Amestecurile de condimente sau plante aromatice nu sunt incluse în acest format.,Amestecuriile,Amestecurile
Gwen este o adolescenta cu puteri magice.,Gwen este o adolescentă cu puteri magice.,adolescenta,adolescentă
"După acident, NASA a încercat să planifice mai realist zborurile navetelor: a adăugat un alt orbiter, Endeavour, la flota de navete spațiale în locul lui Challenger, și a colaborat cu Departamentul Apărării pentru a plasa mai mulți sateliți pe orbită cu ajutorul vehiculelor de unică folosință în locul navetelor.","După accident, NASA a încercat să planifice mai realist zborurile navetelor: a adăugat un alt orbiter, Endeavour, la flota de navete spațiale în locul lui Challenger, și a colaborat cu Departamentul Apărării pentru a plasa mai mulți sateliți pe orbită cu ajutorul vehiculelor de unică folosință în locul navetelor.","acident,","accident,"
"Google a deschis întregul cod sursă (inclusiv suportul pentru rețea și telefonie articol eWeek despre codul sursă android ), care anterior era indisponibil, sub licența Apache.","Google a deschis întregul cod sursă (inclusiv suportul pentru rețea și telefonie articol eWeek despre codul sursă Android ), care anterior era indisponibil, sub licența Apache.",android,Android
"Satelitul are o orbită polară, circulară și heliosincronă de 681 km, amândoi senzori având o arie de acoperire de 11 km.","Satelitul are o orbită polară, circulară și heliosincronă de 681 km, amândoi senzorii având o arie de acoperire de 11 km.",senzori,senzorii
"""Am așteptat minute bune să pot ieși în Podu Roș"" a spus un ieșean.","""Am așteptat minute bune să pot ieși în Podu Roș"", a spus un ieșean.","Roș""","Roș"","
"Înca de la Revoluția română din 1989, sistemul de învățământ românesc a fost întrun continuu proces de reorganizare care a fost atât lăudat cât și criticat.","Înca de la Revoluția română din 1989, sistemul de învățământ românesc a fost într-un continuu proces de reorganizare care a fost atât lăudat cât și criticat.",întrun,într-un
